english,hinglish,hinglish_dev,pred_hinglish_dev,pred_hinglish
@MeetUunngLee bro block them!,@MeetUunngLee bhai block kar do unko!,@मीटूँगली भाई ब्लॉक कर दो उनको!,@MeetUunngLee भाई उन्हें ब्लॉक करें!,@meetuunnglee bhaai unhein block karein!
"""if someone like you comes in my life, then my life becomes complicated -delhi chaps","""AAP jaisa koi mere zindagi mein aaye toh jhand ho jaaye"" - Delhi Chaps","""आप जैसा कोई मेरे जिंदगी में आये तोह झंड हो जाए"" - डेल्ही चैप्स","""अगर आप जैसा कोई मेरे जीवन में आता है, तो मेरा जीवन जटिल हो जाता है-दिल्ली के लोग","""agar aap jaisa koi mere jeevan main aata hai, too meraa jeevan jatil how jaataa hai-dilli key log"
it's holi! india's captain is #Kohli. #HappyHoli everyone @imVkohli @BCCI,Holi hai bhai Holi hai India ka captain #Kohli hai #HappyHoli everyone @imVkohli @BCCI,होली है भाई होली है इंडिया का कैप्टन #कोहली है #हैपीहोली एवरयोन @इम्वकोहली @बीसीसीआई,यह होली है! भारत का कप्तान है #Kohli. #HappyHoli हर कोई @imVkohli @BCCI,yeah holly hai! bharat kaa kaptan hai #kohli. #happyholi hear koi @imvkohli @bcci
"india will not win world 'cup ', how to get happy.",ind world jitegi hi nhi khushi kanha milegi .  .  .  .  .  .  .  .,इंड वर्ल्ड जीतेगी ही नही खुशी कन्हा मिलेगी .  .  .  .  .  .  .  ।,"भारत विश्व कप नहीं जीतेगा, खुश कैसे रहें।","bharat vishwa cup nahin jeetega, khush kaise rahein."
it will get downloaded. so there is no chance of it being fake,"download hogi , toh fake toh ho hi nahi sakti","डाउनलोड होगी , तोह फेक तोह हो ही नही सकती",यह डाउनलोड हो जाएगा. इसलिए इसके नकली होने की कोई संभावना नहीं है,yeah download how jayega. isaliye isake nakali honey key koi sambhavana nahin hai
who would go see @someUSER with me at there constitution hall on sunday evening ?,who would go see @someUSER with me at dar constitution hall on sunday evening ?,व्हो वोल्ड गो सी @सोम्यूजर विथ मे एट दर कांस्टीट्यूशन हाल ओन संडे इवनिंग ?,रविवार की शाम को संविधान सभा में मेरे साथ कौन @someUSER देखने जाएगा?,ravivaar key sham coo samvidhaan sabha main mere saath coun @someuser dekhane jayega?
@GappistanRadio yes it looks like a fraud,@GappistanRadio haan ee jhol lag raha hai,@गप्पिस्तानरेडियो हाँ ई झोल लग रहा है,@GappistanRadio हाँ यह एक धोखाधड़ी की तरह दिखता है,@gappistanradio haan yeah ack dhokhadhadi key tarah dikhta hai
"@KameeniChhori not everything is money simran, some love is also there","@KameeniChhori har chiz paisa nahi hoti simran, kuchh pyar bhi hota hai.","@कमीनीछोरी हर चीज पैसा नही होती सिमरन, कुछ प्यार भी होता है।","@KameeniChhori सब कुछ पैसा नहीं है, कुछ प्यार भी है।","@kameenichhori sub kuchha paisa nahin hai, kuchha pyaar bhi hai."
gurdeep singh seems to be very happy pic.twitter.com/MZrSabJjQ2,Gurdeep Singh khushi se phule nahi samaaye.pic.twitter.com/MZrSabJjQ2,गुरदीप सिंह खुशी से फुले नही समाये.पिक.ट्विटर.कॉम/मज़रसबज्ज़क२,गुरदीप सिंह बहुत खुश लग रहे हैं pic.twitter.com/MZrSabJjQ2,gurdeep singh bahut khush lag rahe hain pic.twitter.com/mzrsabjjq2
I like Gurgaon... there are nice girls there.,I like Gurgaon.. Ladkiya mast hai waha ki,आई लाइक गुड़गांव.. लड़किया मस्त है वहा की,मुझे गुड़गांव पसंद है... वहाँ अच्छी लड़कियाँ हैं।,mujhe gudgaon pasand hai... vahan acchi ladakiyan hain.
"india's batting was like a 'rang de basanti' movie, everyone performed well but everyone died in the end. . . .
","indian ki batting 'rang de basanti' movie ki tarah thi ,  sabne accha perform kiya par end me sab mar gaye .  .  .  . ","इंडियन की बैटिंग 'रंग दे बसंती' मूवी की तरह थी ,  सबने अच्छ परफॉर्म किया पर एंड मे सब मार गये .  .  .  ।","भारत की बल्लेबाजी एक'रंग दे बसंती'फिल्म की तरह थी, सभी ने अच्छा प्रदर्शन किया लेकिन अंत में सभी की मौत हो गई।","bharat key ballebaji ack'rung dei basanti'film key tarah thee, sabhi nay achcha pradarshan kiya lekin ant main sabhi key maut how gayee."
@witchybitchygal haha. then it will turn.,@witchybitchygal Haha. Phir to woh Gul hi ho jayega,@विचीबिचीगल हाहा. फिर तो वोह गुल ही हो जाएगा,@witchybitchygal हाहा. फिर यह बदल जाएगा।,@witchybitchygal haha. fir yeah badal jayega.
"@someUSER haha ! ! well keep going , my hubby gave up on ash wed in '96 and has never looked back . ","@someUSER haha ! ! well keep going , my hubby gave up on ash wed in '96 &amp; has never looked back . ","@सोम्यूजर हाहा ! ! वेल कीप गोइंग , माई हबी गेव उप ओन अश वेद इन '९६ &एएमपी; हास नेवर लुक्ड बैक ।","@someUSER हाहा!! खैर चलते रहो, मेरे पति ने'96 में ऐश वैड छोड़ दिया और कभी पीछे मुड़कर नहीं देखा।","@someuser haha!! khair chalte raho, mere pati nay'96 main aish vaid chhod diya our kabhi peechhe mudkar nahin dekhaa."
"She: wht is the moon hiding in the clouds?
He: don't irritate me. let me sleep.
#HeSheStories","She: Baadlon mein chhup raha hai chaand kyu?
He: Dimaag mat kha sone de.
#HeSheStories","शे: बादलों में छुप रहा है चांद क्यू?
हे: दिमाग मत खा सोने दे.
#हेशेस्टोरीज",वहः बादलों में चाँद क्या छिपा हुआ है? वहः मुझे परेशान मत करो. मुझे सोने दो।,wh baadlon main chanda kya chhipa hua hai? wh mujhe pareshan mutt karo. mujhe sone doe.
@KajuBadamChor this isn't sweet or sour. we speak kampat.,@KajuBadamChor khatti meethi nahi hai yeh. Hum log kampat bolte the,@काजूबदमचोर खट्टी मीठी नही है येह. हम लोग कम्पट बोलते थे,@KajuBadamChor यह मीठा या खट्टा नहीं है. हम कम्पत बोलते हैं।,@kajubadamchor yeah meetha yaa khatta nahin hai. humm kampat bolate hain.
"Guddu's pillows are smiling, just like guddu! ","guddu k pillow b smile kr re ,  guddu ki tarah !  ! ","गुड्डू के पिलो बी स्माइल केआर रे ,  गुड्डू की तरह !  !",गुड्डू के तकिए गुड्डू की तरह मुस्कुरा रहे हैं!,guddu key takiye guddu key tarah muskura rahe hain!
"the poor udhbilao brought us chips and we beat him, don't beat the one who brings food.","bichara udhbilao chips laya tha usse bel diya ,  khana lane wale ko kbhi nhi marte :p","बिचारा उधबिलाओ चिप्स लाया था उस्से बेल दिया ,  खाना लाने वाले को कभी नही मारते :प","गरीब उदबिलाव हमारे लिए चिप्स लाया और हम उसे पीटते हैं, भोजन लाने वाले को मत मारो।","garib udbilaav hamare lie chips laya our humm use peetate hain, bhojan laane vaale coo mutt maaro."
@Rofl_Delhite mi has cheated a lot,@Rofl_Delhite MI ne bahut chitting kiya hai,@रोफल_डेलहाइट मी ने बहुत चिटिंग किया है,@Rofl_Delhite mi ने बहुत धोखा दिया है,@rofl_delhite mi nay bahut dhokha diya hai
"jaijinendra, 07412-235423 dt is closed from 28-2-2016 please open it , he is very upset no -9406636779 thanks #RaviShankarPrasad ","Jaijinendra , 07412-235423 DT 28-2-2016 se band hai Pl chalu karva deve him bahut pareshan hai No "" 9406636779 Thanks #RaviShankarPrasad","जयजिनेन्द्र , ०७४१२-२३५४२३ दत २८-२-२०१६ से बंद है पीएल चालू करवा देवे हिम बहुत परेशन है नो "" ९४०६६३६७७९ थैंक्स #रविशंकरप्रसाद","जयजिनेन्द्र, 07412-235423 dt 28-2-2016 से बंद है कृपया इसे खोलें, वह बहुत परेशान है-94066367779 धन्यवाद #RaviShankarPrasad","jayajinendra, 07412-235423 dt 28-2-2016 say band hai kripaya ise kholein, wah bahut pareshan hai-94066367779 dhanyavaad #ravishankarprasad"
i totally agree with the post .teachers have no right to spoil students career now . ,i totaly agree with the post  .  .  teachers have no right to spoil students carrer now  .  .  .  .,आई टोटली एग्री विथ थे पोस्ट  .  .  टीचर्स हेव नो राइट तो स्पॉइल स्टूडेंट्स कैरर नौ  .  .  .  ।,मैं इस पद से पूरी तरह सहमत हूं। शिक्षकों को अब छात्रों का करियर खराब करने का कोई अधिकार नहीं है।,main iss pada say poori tarah sahmat hoon. shikshakon coo ab chhatron kaa carrier kharab karane kaa koi adhikaar nahin hai.
@SritikaDhar this doesn't make sense,@SritikaDhar ye sense nahi bana,@श्रीतिकाधार ये सेंस नही बना,@SritikaDhar इसका कोई मतलब नहीं है।,@sritikadhar iska koi matlab nahin hai.
@i_fattimaayyy  i’m lost in your love after seeing your display picture. other countrymen are watching match.,".@i_fattimaayyy main toh tumhare pyaar mein gum hogaya hu DP dekh kar, baaki deshwale match dekh rahe hai.",".@आई_फत्तीमाय्य मैं तोह तुम्हारे प्यार में गुम होगया हू डीपी देख कर, बाकी देशवाले मैच देख रहे है।",@i_fattimaayyy मैं आपकी डिस्प्ले तस्वीर देखने के बाद आपके प्यार में खो गया हूँ. अन्य देशवासी मैच देख रहे हैं।,@i_fattimaayyy main aapaki display tasveer dekhane key baad aapke pyaar main kho gaya hoon. any deshwasi match dekh rahe hain.
wide brick is used only for displaying. .,wide wali eent to sirf deekhane ke liye hoti thi .  .,वाइड वाली ईंट तो सिर्फ दीखने के लिए होती थी .  ।,चौड़ी ईंट का उपयोग केवल प्रदर्शन के लिए किया जाता है।,chaudi int kaa upayog kewal pradarshan key lie kiya jaataa hai.
@UrbanZameendar govinda's doppleganger too.,@UrbanZameendar Govinda ka humshakal bhi,@उर्बनज़मींदर गोविंदा का हमशकल भी,@UrbanZameendar गोविंदा का डॉपलगैंगर भी।,@urbanzameendar govinda kaa doppelganger bhi.
Find this cute puppy a home? there is no money for (my/our)  own rent.,Find this cute puppy a home? yahan khud ke kiraaye ke paise nahi hai.,फाइंड थिस क्यूट पप्पी आ होम? यहां खुद के किराए के पैसे नही है।,इस प्यारे कुत्ते को एक घर ढूँढें? (मेरे/हमारे) अपने किराए के लिए कोई पैसा नहीं है।,iss pyaare kutte coo ack ghar dhoondhen? (mere/hamare) apane kiraaye key lie koi paisa nahin hai.
shame on idiot advertisment,idiot advertisment shame on .  .,इडियट एडवर्टिजमेंट शेम ओन .  ।,मूर्ख विज्ञापन पर शर्म आती है,moorkh vigyaapan per sherm aatee hai
"retweet @ashutosh83B : murderous assault on AAP MLA , kartar singh tanwar . chhatarpur . driver is injured . attackers were carrying pistol . Kartar i","RT @ashutosh83B : Murderous assault on AAP MLA , Kartar Singh Tanwar . Chhatarpur . Driver is injured . Attackers were carrying pistol . Kartar i","आरटी @आशुतोष८३बी : मर्डर असॉल्ट ओन आप मला , करतार सिंह तंवर . छतरपुर . ड्राइवर इस इंजर्ड . अटैकर्स वेरे कैरिंग पिस्तोल . करतार आई","रीट्वीट करें @ashutosh83B: आप विधायक, कर्तार सिंह तंवर पर जानलेवा हमला. छतरपुर. चालक घायल है. हमलावरों के पास पिस्तौल थी।","retweet karein @ashutosh83b: aap vidhayak, kartaar singh tanwar per janleva hamla. chhatarpur. chaalak ghayal hai. hamlaavaron key paas pistol thee."
