english,hinglish,hinglish_dev,pred_hinglish_dev,pred_hinglish
@MeetUunngLee bro block them!,@MeetUunngLee bhai block kar do unko!,@मीटूँगली भाई ब्लॉक कर दो उनको!,@MeetUunngLee भाई उन्हें ब्लॉक कर दो!,@meetuunnglee bhaai unhein block cur doe!
"""if someone like you comes in my life, then my life becomes complicated -delhi chaps","""AAP jaisa koi mere zindagi mein aaye toh jhand ho jaaye"" - Delhi Chaps","""आप जैसा कोई मेरे जिंदगी में आये तोह झंड हो जाए"" - डेल्ही चैप्स","""तेरे जैसा कोई मेरी लाइफ में आ जाए तो मेरी लाइफ कॉम्प्लिकेटेड हो जाती है""-दिल्ली चाप्स","""there jaisa koi merry life main aa jaye too merry life complicated how jaati hai""-dilli chaps"
it's holi! india's captain is #Kohli. #HappyHoli everyone @imVkohli @BCCI,Holi hai bhai Holi hai India ka captain #Kohli hai #HappyHoli everyone @imVkohli @BCCI,होली है भाई होली है इंडिया का कैप्टन #कोहली है #हैपीहोली एवरयोन @इम्वकोहली @बीसीसीआई,ये होली है! इंडियाज कैप्टन इस #Kohli. #HappyHoli हर कोई @imVkohli @BCCI,yeye holly hai! indias captain iss #kohli. #happyholi hear koi @imvkohli @bcci
"india will not win world 'cup ', how to get happy.",ind world jitegi hi nhi khushi kanha milegi .  .  .  .  .  .  .  .,इंड वर्ल्ड जीतेगी ही नही खुशी कन्हा मिलेगी .  .  .  .  .  .  .  ।,"इंडिया विल नॉट विन वर्ल्ड'कप', हाउ टू गेट हैप्पी।","india will nott winn world'cup', hou too gate happy."
it will get downloaded. so there is no chance of it being fake,"download hogi , toh fake toh ho hi nahi sakti","डाउनलोड होगी , तोह फेक तोह हो ही नही सकती",यह डाउनलोड हो जाएगा. तो नकली होने की कोई संभावना नहीं है,yeah download how jayega. too nakali honey key koi sambhavana nahin hai
who would go see @someUSER with me at there constitution hall on sunday evening ?,who would go see @someUSER with me at dar constitution hall on sunday evening ?,व्हो वोल्ड गो सी @सोम्यूजर विथ मे एट दर कांस्टीट्यूशन हाल ओन संडे इवनिंग ?,रविवार शाम को कौन मेरे साथ कंस्टीट्यूशन हॉल में @someUSER देखने जाएगा?,ravivaar sham coo coun mere saath constitution hall main @someuser dekhane jayega?
@GappistanRadio yes it looks like a fraud,@GappistanRadio haan ee jhol lag raha hai,@गप्पिस्तानरेडियो हाँ ई झोल लग रहा है,@GappistanRadio हाँ ये फ्रॉड जैसा लगता है,@gappistanradio haan yeye frod jaisa lagata hai
"@KameeniChhori not everything is money simran, some love is also there","@KameeniChhori har chiz paisa nahi hoti simran, kuchh pyar bhi hota hai.","@कमीनीछोरी हर चीज पैसा नही होती सिमरन, कुछ प्यार भी होता है।","@KameeniChhori सब कुछ पैसा नहीं है सिमरान, कुछ प्यार भी है","@kameenichhori sub kuchha paisa nahin hai simran, kuchha pyaar bhi hai"
gurdeep singh seems to be very happy pic.twitter.com/MZrSabJjQ2,Gurdeep Singh khushi se phule nahi samaaye.pic.twitter.com/MZrSabJjQ2,गुरदीप सिंह खुशी से फुले नही समाये.पिक.ट्विटर.कॉम/मज़रसबज्ज़क२,गुरदीप सिंह बहुत खुश लग रहा है pic.twitter.com/MZrSabJjQ2,gurdeep singh bahut khush lag rahaa hai pic.twitter.com/mzrsabjjq2
I like Gurgaon... there are nice girls there.,I like Gurgaon.. Ladkiya mast hai waha ki,आई लाइक गुड़गांव.. लड़किया मस्त है वहा की,मुझे गुड़गांव पसंद है... वहाँ अच्छी लड़कियाँ हैं।,mujhe gudgaon pasand hai... vahan acchi ladakiyan hain.
