hinglish,hinglish_dev,english,english_pred
@MeetUunngLee bhai block kar do unko!,@मीटूँगली भाई ब्लॉक कर दो उनको!,@MeetUunngLee bro block them!,"@मीटूँगली Brother, block them!"
"""AAP jaisa koi mere zindagi mein aaye toh jhand ho jaaye"" - Delhi Chaps","""आप जैसा कोई मेरे जिंदगी में आये तोह झंड हो जाए"" - डेल्ही चैप्स","""if someone like you comes in my life, then my life becomes complicated -delhi chaps","""Somebody like you should come into my life."" - Delhi Chaps"
Holi hai bhai Holi hai India ka captain #Kohli hai #HappyHoli everyone @imVkohli @BCCI,होली है भाई होली है इंडिया का कैप्टन #कोहली है #हैपीहोली एवरयोन @इम्वकोहली @बीसीसीआई,it's holi! india's captain is #Kohli. #HappyHoli everyone @imVkohli @BCCI,Holi hai bhai Holi hai India ka captain is #कोहली #हैपीहोली Everon @इम्वकोहली @बीसीसीआई
ind world jitegi hi nhi khushi kanha milegi .  .  .  .  .  .  .  .,इंड वर्ल्ड जीतेगी ही नही खुशी कन्हा मिलेगी .  .  .  .  .  .  .  ।,"india will not win world 'cup ', how to get happy.","India will not only win the world, it will also win happiness."
"download hogi , toh fake toh ho hi nahi sakti","डाउनलोड होगी , तोह फेक तोह हो ही नही सकती",it will get downloaded. so there is no chance of it being fake,"will be downloaded, you can't be fake."
who would go see @someUSER with me at dar constitution hall on sunday evening ?,व्हो वोल्ड गो सी @सोम्यूजर विथ मे एट दर कांस्टीट्यूशन हाल ओन संडे इवनिंग ?,who would go see @someUSER with me at there constitution hall on sunday evening ?,Who Wold Go See @सोम्यूजर with May at the Constitution Hall on Sunday Evening?
@GappistanRadio haan ee jhol lag raha hai,@गप्पिस्तानरेडियो हाँ ई झोल लग रहा है,@GappistanRadio yes it looks like a fraud,"@गप्पिस्तानरेडियो Yes, it seems to be jammed."
"@KameeniChhori har chiz paisa nahi hoti simran, kuchh pyar bhi hota hai.","@कमीनीछोरी हर चीज पैसा नही होती सिमरन, कुछ प्यार भी होता है।","@KameeniChhori not everything is money simran, some love is also there","@कमीनीछोरी Everything is not money Simran, there is also some love."
Gurdeep Singh khushi se phule nahi samaaye.pic.twitter.com/MZrSabJjQ2,गुरदीप सिंह खुशी से फुले नही समाये.पिक.ट्विटर.कॉम/मज़रसबज्ज़क२,gurdeep singh seems to be very happy pic.twitter.com/MZrSabJjQ2,Gurdeep Singh not blossoming with joy समाये.पिक.ट्विटर.कॉम/मज़रसबज्ज़क2
I like Gurgaon.. Ladkiya mast hai waha ki,आई लाइक गुड़गांव.. लड़किया मस्त है वहा की,I like Gurgaon... there are nice girls there.,I like Gurgaon.. girls are cool there.
"indian ki batting 'rang de basanti' movie ki tarah thi ,  sabne accha perform kiya par end me sab mar gaye .  .  .  . ","इंडियन की बैटिंग 'रंग दे बसंती' मूवी की तरह थी ,  सबने अच्छ परफॉर्म किया पर एंड मे सब मार गये .  .  .  ।","india's batting was like a 'rang de basanti' movie, everyone performed well but everyone died in the end. . . .
","Indian's batting was like a'Rang De Basanti'movie, everyone performed well but in the end, everyone died."
@witchybitchygal Haha. Phir to woh Gul hi ho jayega,@विचीबिचीगल हाहा. फिर तो वोह गुल ही हो जाएगा,@witchybitchygal haha. then it will turn.,@विचीबिचीगल Haha. Then it'll just disappear.
"@someUSER haha ! ! well keep going , my hubby gave up on ash wed in '96 &amp; has never looked back . ","@सोम्यूजर हाहा ! ! वेल कीप गोइंग , माई हबी गेव उप ओन अश वेद इन '९६ &एएमपी; हास नेवर लुक्ड बैक ।","@someUSER haha ! ! well keep going , my hubby gave up on ash wed in '96 and has never looked back . ","@सोम्यूजर Haha!! Well keep going, my hubby gave up on Ash Ved in'96 & amp; has never looked back."
"She: Baadlon mein chhup raha hai chaand kyu?
He: Dimaag mat kha sone de.
#HeSheStories","शे: बादलों में छुप रहा है चांद क्यू?
हे: दिमाग मत खा सोने दे.
#हेशेस्टोरीज","She: wht is the moon hiding in the clouds?
He: don't irritate me. let me sleep.
#HeSheStories",Shay: Why is the moon hiding in the clouds? Hey: Don't let your mind go to sleep. #हेशेस्टोरीज
@KajuBadamChor khatti meethi nahi hai yeh. Hum log kampat bolte the,@काजूबदमचोर खट्टी मीठी नही है येह. हम लोग कम्पट बोलते थे,@KajuBadamChor this isn't sweet or sour. we speak kampat.,@काजूबदमचोर Sour isn't sweet. We used to say compot.
